Order Date	Order ID.1	Order ID.2	Customer Name.1	Customer Name.2	Segment	Country	City	Location	Product ID.1	Product ID.2	Product ID.3	Category	Product Name	Sales	Quantity	CompanyName	Expiry Date
02/10/2021	CD	566760	'Abal	Gaber	Corporate	Pakistan	Lahore	Site	OFF	AR	10002053	Diploma	Social Media Diploma	11399.94	6	Affinity Investment Group	null
02/10/2021	ND	626721	Faith	Rogers	Corporate	United Kingdom	Warrington	Site	OFF	BI	10003274	Award	HR Award	35976	24	Mr. Good Buys	null
02/10/2021	GK	382078	Sa'dah	Salib	Corporate	Pakistan	Lahore	Site	FUR	TA	10001705	Courses	ECDL	625	1	Eli Moore Inc	null
02/10/2021	XX	623599	Labeeb	Abboud	Corporate	Pakistan	Lahore	Site	OFF	PA	10001289	Courses	Graphic Design	24500	14	One-Up Realty	null
02/10/2021	KX	481045	Sanaa	Baba	Corporate	Kuwait	Kuwait City	Site	OFF	PA	10004041	Diploma	Microsoft Office Diploma	67500	27	Superior Appraisals	null
02/11/2020	WR	58197	Abdul-Ahad	Boulos	Corporate	Pakistan	Lahore	Site	OFF	AR	10002987	Award	Microsoft Office Award	13500	9	Food Barn	null
02/11/2020	GQ	224894	Dawit	Kifle	Home Office	Kenya	Nairobi	Site	FUR	CH	10002372	Courses	Cloud Architecture	3360	7	null	null
02/11/2020	SA	493695	Alem	Abrha	Home Office	Kenya	Nairobi	Site	TEC	PH	10002483	Diploma	Graphic Design Diploma	28800	16	null	null
02/11/2020	NS	848638	Samira	Eyob	Home Office	Kenya	Nairobi	Site	OFF	PA	10003205	Diploma	Graphic Design Diploma	12600	7	null	null
02/11/2020	RK	635189	Alexandra	Baldwin	Consumer	United Kingdom	Liverpool	Hub	FUR	FU	10004270	Courses	Python	350	1	null	null
02/11/2020	ZJ	391624	Taymullah	Antoun	Home Office	Pakistan	Lahore	Site	GUP	VA	75957661	Courses	Graphic Design	19250	11	null	null
02/11/2020	TD	755587	Abdul-Khaliq	Asghar	Home Office	Pakistan	Lahore	Site	OFF	LA	10002271	Diploma	Graphic Design Diploma	50400	28	null	null
02/11/2020	SY	21155	Tewelde	Haylom	Home Office	Kenya	Nairobi	Site	FUR	CH	10003396	Courses	Python	6650	19	null	null
02/11/2021	VP	16886	Juwain	Naser	Home Office	Kuwait	Kuwait City	Site	GKL	HH	34595223	Courses	Microsoft Excel	3192	8	null	null
02/11/2021	WP	151322	Maladh	Shadid	Home Office	Pakistan	Lahore	Site	FUR	TA	10000849	Courses	Python	4900	14	null	null
02/11/2021	GX	517247	Mason	Dyer	Home Office	United Kingdom	Warrington	Site	API	XC	17129060	Courses	Graphic Design	36750	21	null	null
02/11/2021	TW	472642	Lidya	Selam	Corporate	Kenya	Nairobi	Site	OFF	ST	10002214	Courses	Graphic Design	29750	17	Ideal Garden Maintenance	null
02/11/2021	GW	135421	Fawziya	Atiyeh	Home Office	Kuwait	Kuwait City	Site	TEC	AC	10004001	Diploma	IT Support Diploma	33000	15	null	null
02/11/2021	OJ	418016	Huwaidah	Mikhail	Corporate	Pakistan	Lahore	Site	OFF	PA	10004911	Courses	Graphic Design	33250	19	The White Rabbit	null
02/11/2021	QB	211946	Zafir	Kattan	Home Office	Pakistan	Lahore	Site	CZZ	WH	47664372	Diploma	Executive PA Diploma	63000	14	null	null
02/11/2021	ZV	950439	Mebrahtu	Gabriel	Home Office	Kenya	Nairobi	Site	FUR	BO	10002545	Courses	Microsoft Excel	7182	18	null	null
02/11/2021	FL	911387	Isra'	Seif	Corporate	Kuwait	Kuwait City	Site	TEC	PH	10001051	Diploma	Microsoft Office Diploma	42500	17	John F. Lawhon	null
02/11/2021	PF	27245	Hudhayfah	Botros	Home Office	Pakistan	Lahore	Site	FUR	BO	10001567	Courses	Medical Terminology	3150	7	null	null
02/11/2021	GS	292661	Safwah	Halabi	Consumer	Pakistan	Lahore	Site	OFF	ST	10000078	Courses	Graphic Design	1750	1	null	null
02/11/2021	NY	206749	Sawdah	Totah	Consumer	Pakistan	Lahore	Site	OFF	BI	10001524	Courses	Executive Assistant Diploma	3999	1	null	null
02/11/2021	RX	140239	Harrison	Hart	Corporate	United Kingdom	Liverpool	Hub	TEC	PH	10001448	Diploma	Graphic Design Diploma	25200	14	Big Daddy's Restaurants	null
02/12/2020	HY	788571	Sibal	Koury	Consumer	Pakistan	Lahore	Site	OFF	LA	10004345	Award	Microsoft Office Award	1500	1	null	null
